What is Microsoft Sentinel?	A cloud-native SIEM and SOAR solution.	Exam1::Sentinel
Which log source is used for Azure AD sign-ins?	SigninLogs table.	Exam1::AzureAD
What is the purpose of KQL?	To query and analyze log data in Sentinel.	Exam1::KQL
Sample Q4 for Exam1.tsv	Sample Answer 4	Exam1::Extra
Sample Q5 for Exam1.tsv	Sample Answer 5	Exam1::Extra
Sample Q6 for Exam1.tsv	Sample Answer 6	Exam1::Extra
Sample Q7 for Exam1.tsv	Sample Answer 7	Exam1::Extra
Sample Q8 for Exam1.tsv	Sample Answer 8	Exam1::Extra
Sample Q9 for Exam1.tsv	Sample Answer 9	Exam1::Extra
Sample Q10 for Exam1.tsv	Sample Answer 10	Exam1::Extra
Sample Q11 for Exam1.tsv	Sample Answer 11	Exam1::Extra
Sample Q12 for Exam1.tsv	Sample Answer 12	Exam1::Extra
Sample Q13 for Exam1.tsv	Sample Answer 13	Exam1::Extra
Sample Q14 for Exam1.tsv	Sample Answer 14	Exam1::Extra
Sample Q15 for Exam1.tsv	Sample Answer 15	Exam1::Extra
Sample Q16 for Exam1.tsv	Sample Answer 16	Exam1::Extra
Sample Q17 for Exam1.tsv	Sample Answer 17	Exam1::Extra
Sample Q18 for Exam1.tsv	Sample Answer 18	Exam1::Extra
Sample Q19 for Exam1.tsv	Sample Answer 19	Exam1::Extra
Sample Q20 for Exam1.tsv	Sample Answer 20	Exam1::Extra
Sample Q21 for Exam1.tsv	Sample Answer 21	Exam1::Extra
Sample Q22 for Exam1.tsv	Sample Answer 22	Exam1::Extra
Sample Q23 for Exam1.tsv	Sample Answer 23	Exam1::Extra
Sample Q24 for Exam1.tsv	Sample Answer 24	Exam1::Extra
Sample Q25 for Exam1.tsv	Sample Answer 25	Exam1::Extra
Sample Q26 for Exam1.tsv	Sample Answer 26	Exam1::Extra
Sample Q27 for Exam1.tsv	Sample Answer 27	Exam1::Extra
Sample Q28 for Exam1.tsv	Sample Answer 28	Exam1::Extra
